mode,mass_kg,ballistic_height_m,time_s,l0_m,body_speed_m_per_s,joint_speed_rad_per_s,joint_speed_rpm,required_joint_torque_nm,available_joint_torque_nm,torque_utilization,total_mechanical_power_w
landing,2.3,0.1,0.05598100966417813,0.07233280000000002,0.30250258260054586,5.534473808876756,52.850331845721925,0.924618386196945,5.853105009563216,0.1579705788100911,-20.469104966451543
landing,2.3,0.1,0.056123818362301035,0.07228980000000002,0.29970163276165174,5.487466448071463,52.401444615689925,0.9239043376697685,5.85599071318485,0.15777079966837793,-20.279576216762162
landing,2.3,0.1,0.056266627060423936,0.07224720000000001,0.29690068292275784,5.440355054738126,51.951563948193105,0.9231956032711475,5.858882803190187,0.1575719525859885,-20.0900474670728
landing,2.3,0.1,0.05640943575854684,0.072205,0.29409973308386395,5.393139992563433,51.50069331618348,0.9224922190423455,5.8617812572531065,0.1573740435811887,-19.900518717383438
landing,2.3,0.1,0.056552244456669745,0.07216320000000001,0.29129878324497005,5.345821638988927,51.04883632396232,0.9217942207393813,5.8646860522030995,0.15717707862522404,-19.710989967694076
landing,2.3,0.1,0.056695053154792646,0.07212180000000001,0.28849783340607615,5.298400385216187,50.59599670722952,0.9211016438317067,5.867597164024953,0.1569810636420489,-19.521461218004713
landing,2.3,0.1,0.05683786185291555,0.07208080000000003,0.28569688356718226,5.2508766362096,50.14217833311011,0.9204145235008943,5.870514567858578,0.15678600450805785,-19.33193246831535
landing,2.3,0.1,0.056980670551038455,0.07204020000000001,0.28289593372828814,5.20325081069669,49.6873852001574,0.9197328946393274,5.873438237998988,0.15659190705181736,-19.14240371862597
landing,2.3,0.1,0.057123479249161356,0.07200000000000001,0.28009498388939424,5.155523341165999,49.23162143833276,0.9190567918489015,5.876368147896432,0.1563987770537993,-18.95287496893661
landing,2.3,0.1,0.05726628794728426,0.07196020000000002,0.27729403405050035,5.107694673862507,48.77489130896185,0.9183862494397182,5.879304270156673,0.15620662024611373,-18.763346219247246
landing,2.3,0.1,0.057409096645407165,0.07192080000000001,0.27449308421160623,5.05976526878049,48.317199204666444,0.9177213014287989,5.88224657654143,0.1560154423122448,-18.573817469557866
landing,2.3,0.1,0.057551905343530066,0.07188180000000002,0.27169213437271234,5.011735599653894,47.8585496492725,0.9170619815387961,5.885195037968963,0.15582524888678678,-18.384288719868504
landing,2.3,0.1,0.05769471404165297,0.07184320000000001,0.26889118453381844,4.963606153944103,47.39894729769332,0.9164083231967098,5.888149624514829,0.15563604555518068,-18.194759970179142
landing,2.3,0.1,0.057837522739775875,0.07180500000000001,0.26609023469492454,4.915377432825136,46.93839693578827,0.9157603595326146,5.89111030541279,0.15544783785345323,-18.00523122048978
landing,2.3,0.1,0.057980331437898776,0.0717672,0.26328928485603065,4.867049951166209,46.4769034801962,0.9151181233783897,5.894077049055881,0.1552606312679564,-17.815702470800417
landing,2.3,0.1,0.05812314013602168,0.07172980000000001,0.26048833501713675,4.818624237511689,46.01447197814403,0.9144816472664568,5.897049822997645,0.15507443123510845,-17.62617372111105
landing,2.3,0.1,0.058265948834144585,0.07169280000000003,0.25768738517824263,4.770100834058359,45.55110760722964,0.9138509634285203,5.9000285939535235,0.1548892431411357,-17.436644971421675
landing,2.3,0.1,0.058408757532267486,0.0716562,0.25488643533934874,4.721480296630013,45.086815675179295,0.9132261037943203,5.903013327802419,0.15470507232181657,-17.247116221732313
landing,2.3,0.1,0.058551566230390394,0.07162000000000002,0.25208548550045484,4.672763194649315,44.62160161957888,0.9126070999903894,5.906003989588421,0.1545219240622266,-17.05758747204295
landing,2.3,0.1,0.058694374928513295,0.07158420000000001,0.24928453566156095,4.623950111106978,44.15547100757965,0.9119939833388125,5.909000543522702,0.15433980359648425,-16.868058722353584
landing,2.3,0.1,0.058837183626636196,0.07154880000000001,0.24648358582266705,4.575041642528149,43.688429535577136,0.9113867848560033,5.912002952985575,0.15415871610749973,-16.678529972664222
landing,2.3,0.1,0.058979992324759103,0.0715138,0.24368263598377293,4.5260383989360635,43.22048302886414,0.910785535251475,5.91501118052873,0.1539786667267232,-16.489001222974846
landing,2.3,0.1,0.059122801022882004,0.07147920000000002,0.24088168614487904,4.4769410038129,42.7516374412569,0.9101902649266332,5.918025187877634,0.15379966053389718,-16.299472473285483
landing,2.3,0.1,0.059265609721004905,0.07144500000000001,0.23808073630598514,4.427750094057832,42.28189885469452,0.9096010039735603,5.921044935934106,0.15362170255680743,-16.10994372359612
landing,2.3,0.1,0.05940841841912781,0.07141120000000001,0.23527978646709102,4.3784663199422456,41.81127347881131,0.9090177821738241,5.92407038477907,0.15344479777103875,-15.920414973906741
landing,2.3,0.1,0.059551227117250714,0.0713778,0.23247883662819713,4.329090345062191,41.3397676504828,0.9084406289972794,5.927101493675468,0.15326895109972957,-15.730886224217379
landing,2.3,0.1,0.059694035815373615,0.07134480000000001,0.22967788678930323,4.2796228462878885,40.86738783334344,0.9078695736008884,5.930138221071363,0.15309416741333035,-15.541357474528017
landing,2.3,0.1,0.05983684451349652,0.07131220000000002,0.22687693695040934,4.2300645137104675,40.394140617278126,0.9073046448275417,5.933180524603212,0.1529204515293623,-15.351828724838652
landing,2.3,0.1,0.059979653211619424,0.07128000000000001,0.22407598711151544,4.180416050585777,39.92003271788551,0.9067458712048945,5.936228361099308,0.15274780821217895,-15.16229997514929
landing,2.3,0.1,0.060122461909742325,0.07124820000000001,0.22127503727262154,4.130678173275318,39.44507097591405,0.9061932809442064,5.93928168658341,0.15257624217272928,-14.972771225459926
landing,2.3,0.1,0.06026527060786523,0.07121680000000001,0.21847408743372743,4.080851611184323,38.96926235667062,0.905646901939191,5.942340456278546,0.1524057580683221,-14.78324247577055
landing,2.3,0.1,0.060408079305988134,0.07118580000000002,0.21567313759483353,4.030937106696892,38.49261394940119,0.9051067617648749,5.945404624610992,0.15223636050239323,-14.593713726081186
landing,2.3,0.1,0.060550888004111035,0.07115520000000002,0.21287218775593963,3.9809354151082283,38.01513296664365,0.9045728876764648,5.948474145214433,0.15206805402427387,-14.404184976391823
landing,2.3,0.1,0.06069369670223394,0.07112500000000002,0.21007123791704574,3.930847304553967,37.53682674355301,0.9040453066082274,5.951548970934302,0.15190084312896213,-14.214656226702461
landing,2.3,0.1,0.060836505400356844,0.07109520000000001,0.20727028807815184,3.880673555936586,37.057702737198625,0.9035240451723715,5.954629053832295,0.15173473225689504,-14.025127477013097
landing,2.3,0.1,0.060979314098479745,0.07106580000000001,0.20446933823925795,3.8304149628488666,36.57776852583335,0.9030091296579476,5.9577143451910715,0.15156972579372416,-13.835598727323735
landing,2.3,0.1,0.06112212279660265,0.07103680000000001,0.20166838840036383,3.780072331494458,36.097031808134915,0.9025005860297493,5.960804795519133,0.15140582807009192,-13.646069977634356
landing,2.3,0.1,0.061264931494725554,0.07100820000000001,0.19886743856146993,3.7296464806054908,35.61550040241928,0.9019984399272335,5.963900354555876,0.15124304336141178,-13.456541227944994
landing,2.3,0.1,0.061407740192848455,0.07098000000000002,0.19606648872257604,3.6791382413572404,35.13318224582565,0.9015027166634413,5.9670009712768355,0.15108137588764883,-13.26701247825563
landing,2.3,0.1,0.06155054889097136,0.0709522,0.19326553888368192,3.628548457279897,34.650085393474,0.9010134412239359,5.970106593899096,0.1509208298131041,-13.077483728566252
landing,2.3,0.1,0.061693357589094264,0.07092480000000001,0.19046458904478802,3.5778779841673836,34.16621801759431,0.9005306382657485,5.973217169886894,0.15076140924620032,-12.88795497887689
landing,2.3,0.1,0.06183616628721717,0.07089780000000001,0.18766363920589413,3.5271276899832373,33.681588406627824,0.9000543321163318,5.976332645957393,0.1506031182392702,-12.698426229187527
landing,2.3,0.1,0.06197897498534007,0.0708712,0.18486268936700023,3.47629845476358,33.19620496430048,0.8995845467725301,5.9794529680866395,0.1504459607883474,-12.508897479498163
landing,2.3,0.1,0.062121783683462974,0.07084500000000002,0.18206173952810634,3.425391170517167,32.710076208668426,0.8991213058995551,5.982578081515703,0.15028994083295946,-12.3193687298088
landing,2.3,0.1,0.06226459238158588,0.07081920000000001,0.17926078968921222,3.374406741122513,32.2232107711357,0.8986646328299753,5.985707930756985,0.15013506225592357,-12.129839980119423
