zone,l0_mm,phi1_deg,phi4_deg,theta_bc_deg,theta_dc_deg,ax_mm,ay_mm,bx_mm,by_mm,cx_mm,cy_mm,dx_mm,dy_mm,ex_mm,ey_mm
baseline_70_120,90.0,158.69508609376877,21.304913906231246,43.16707027163909,136.83292972836094,0.0,0.0,-46.58300351688184,18.166556727849503,29.999999999999996,89.99999999999999,106.58300351688185,18.16655672784951,60.0,0.0
baseline_70_120,91.0,157.82840724645217,22.17159275354782,43.39003225236593,136.60996774763407,0.0,0.0,-46.30289022299894,18.869084688900777,30.000000000000007,91.00000000000003,106.30289022299894,18.86908468890076,60.0,0.0
baseline_70_120,92.0,156.96559979451297,23.034400205487035,43.61941487186975,136.38058512813026,0.0,0.0,-46.013504690900895,19.56418631225029,30.000000000000007,91.99999999999999,106.0135046909009,19.564186312250293,60.0,0.0
baseline_70_120,93.0,156.10621944432867,23.893780555671338,43.855102093278525,136.1448979067215,0.0,0.0,-45.714896393920846,20.252117116318562,30.0,93.0,105.71489639392084,20.252117116318566,60.0,0.0
baseline_70_120,94.0,155.24983623934867,24.75016376065134,44.09699081049237,135.90300918950763,0.0,0.0,-45.40709886118943,20.93311665782642,30.0,93.99999999999999,105.40709886118943,20.933116657826425,60.0,0.0
baseline_70_120,95.0,154.39603278968747,25.603967210312522,44.34499022318156,135.65500977681845,0.0,0.0,-45.09013031224659,21.60740957228841,30.000000000000004,95.0,105.0901303122466,21.607409572288404,60.0,0.0
baseline_70_120,96.0,153.5444026145594,26.455597385440612,44.59902129599839,135.4009787040016,0.0,0.0,-44.76399417792741,22.275206513935654,30.0,95.99999999999999,104.7639941779274,22.27520651393565,60.0,0.0
baseline_70_120,97.0,152.69454857996922,27.305451420030778,44.859016295306,135.140983704694,0.0,0.0,-44.42867951581109,22.936705004890047,29.999999999999996,97.00000000000001,104.42867951581108,22.93670500489004,60.0,0.0
baseline_70_120,98.0,151.84608141572727,28.153918584272716,45.124918397866544,134.87508160213346,0.0,0.0,-44.08416132689272,23.592090202110047,30.00000000000001,98.00000000000003,104.08416132689271,23.59209020211003,60.0,0.0
baseline_70_120,99.0,150.99861829718878,29.001381702811205,45.39668136694954,134.60331863305046,0.0,0.0,-43.73040077867096,24.241535589496262,30.000000000000004,99.0,103.73040077867095,24.241535589496255,60.0,0.0
baseline_70_120,100.0,150.1517814781707,29.84821852182927,45.67426929224077,134.32573070775922,0.0,0.0,-43.36734533850674,24.885203601552035,30.00000000000002,99.99999999999997,103.36734533850675,24.88520360155202,60.0,0.0
baseline_70_120,101.0,149.30519696229854,30.694803037701465,45.95765639077791,134.0423436092221,0.0,0.0,-42.99492881986136,25.523246184117262,30.00000000000001,101.00000000000001,102.99492881986136,25.523246184117255,60.0,0.0
baseline_70_120,102.0,148.4584932006052,31.541506799394785,46.24682686692904,133.75317313307096,0.0,0.0,-42.613071342839675,26.155805296913652,30.000000000000004,102.00000000000001,102.61307134283967,26.155805296913645,60.0,0.0
baseline_70_120,103.0,147.61129980355832,32.38870019644165,46.54177483018519,133.4582251698148,0.0,0.0,-42.221679209315326,26.783013361936526,30.00000000000001,103.00000000000001,102.22167920931533,26.78301336193651,60.0,0.0
baseline_70_120,104.0,146.76324625583806,33.23675374416193,46.84250427027155,133.15749572972845,0.0,0.0,-41.82064469177485,27.404993661088923,30.000000000000007,104.00000000000001,101.82064469177486,27.40499366108891,60.0,0.0
baseline_70_120,105.0,145.91396062212837,34.08603937787163,47.14902908981418,132.85097091018582,0.0,0.0,-41.409845733859015,28.0218606858645,30.000000000000018,105.0,101.40984573385903,28.021860685864493,60.0,0.0
baseline_70_120,106.0,145.06306823191665,34.936931768083376,47.461373195544915,132.53862680445508,0.0,0.0,-40.989145559374826,28.6337204413325,29.999999999999996,105.99999999999999,100.98914555937483,28.633720441332507,60.0,0.0
baseline_70_120,107.0,144.2101903308081,35.7898096691919,47.77957064980339,132.22042935019658,0.0,0.0,-40.5583921852731,29.240670706151363,30.00000000000001,107.00000000000001,100.55839218527309,29.240670706151345,60.0,0.0
baseline_70_120,108.0,143.35494268513904,36.64505731486094,48.10366588492274,131.89633411507725,0.0,0.0,-40.11741783270064,29.84280124982427,30.000000000000018,108.0,100.11741783270064,29.842801249824255,60.0,0.0
baseline_70_120,109.0,142.4969341256876,37.50306587431238,48.43371398398275,131.56628601601722,0.0,0.0,-39.666038228708054,30.440194007901322,30.00000000000002,109.00000000000001,99.66603822870806,30.44019400790131,60.0,0.0
baseline_70_120,110.0,141.6357650150057,38.364234984994305,48.76978103240681,131.23021896759317,0.0,0.0,-39.20405178948288,31.032923215313506,30.000000000000004,109.99999999999997,99.20405178948289,31.032923215313502,60.0,0.0
baseline_70_120,111.0,140.7710256212803,39.22897437871969,49.11194454599392,130.8880554540061,0.0,0.0,-38.73123867403272,31.62105549748636,30.000000000000007,111.00000000000003,98.73123867403274,31.621055497486346,60.0,0.0
baseline_70_120,112.0,139.90229437962873,40.09770562037126,49.46029398224586,130.53970601775413,0.0,0.0,-38.24735969500853,32.20464991830587,30.00000000000002,112.0,98.24735969500853,32.20464991830585,60.0,0.0
baseline_70_120,113.0,139.02913601925943,40.970863980740575,49.81493134331522,130.18506865668476,0.0,0.0,-37.752155070759564,32.7837579833875,30.000000000000018,112.99999999999997,97.75215507075957,32.783757983387495,60.0,0.0
baseline_70_120,114.0,138.15109953190918,41.848900468090825,50.175971880605886,129.82402811939411,0.0,0.0,-37.24534299966765,33.35842359640378,30.000000000000007,113.99999999999999,97.24534299966766,33.35842359640378,60.0,0.0
baseline_70_120,115.0,137.26771595327025,42.73228404672974,50.54354491306866,129.45645508693136,0.0,0.0,-36.72661803420439,33.92868296544464,30.000000000000018,114.99999999999999,96.7266180342044,33.92868296544463,60.0,0.0
baseline_70_120,116.0,136.37849592461222,43.62150407538778,50.91779477362117,129.08220522637885,0.0,0.0,-36.19564922786423,34.494564455482134,29.99999999999999,116.0,96.19564922786422,34.49456445548214,60.0,0.0
baseline_70_120,117.0,135.48292699628945,44.51707300371053,51.29888190097818,128.7011180990218,0.0,0.0,-35.65207802297447,35.05608838195929,30.00000000000002,117.0,95.65207802297448,35.05608838195928,60.0,0.0
baseline_70_120,118.0,134.58047062807142,45.41952937192859,51.68698409762503,128.31301590237496,0.0,0.0,-35.09551584115915,35.61326673927776,30.000000000000004,118.0,95.09551584115914,35.613266739277755,60.0,0.0
baseline_70_120,119.0,133.67055883292988,46.32944116707011,52.08229797885179,127.9177020211482,0.0,0.0,-34.525541330662286,36.166102856469486,30.00000000000001,118.99999999999999,94.52554133066229,36.16610285646948,60.0,0.0
baseline_70_120,120.0,132.7525904006719,47.2474095993281,52.48504064288669,127.51495935711331,0.0,0.0,-33.94169721546683,36.71459097053338,30.0,120.0,93.94169721546683,36.71459097053338,60.0,0.0
long_end_exploration,121.0,131.8259266250994,48.1740733749006,52.8954515984726,127.10454840152742,0.0,0.0,-33.34348667971986,37.25871570571568,30.000000000000004,121.0,93.34348667971987,37.25871570571569,60.0,0.0
long_end_exploration,122.0,130.88988644253496,49.11011355746504,53.31379499405346,126.68620500594653,0.0,0.0,-32.73036920679792,37.798451444294585,30.000000000000007,122.0,92.73036920679792,37.798451444294585,60.0,0.0
long_end_exploration,123.0,129.9437408696813,50.056259130318686,53.740362202508834,126.25963779749118,0.0,0.0,-32.10175577463069,38.33376157104812,30.0,122.99999999999997,92.10175577463069,38.33376157104812,60.0,0.0
long_end_exploration,124.0,128.98670660369632,51.013293396303695,54.17547482767443,125.82452517232556,0.0,0.0,-31.4570032866023,38.864597569339274,30.000000000000007,123.99999999999999,91.4570032866023,38.864597569339274,60.0,0.0
long_end_exploration,125.0,128.01793861546687,51.982061384533125,54.619488214487106,125.38051178551288,0.0,0.0,-30.795408089065997,39.39089794137586,30.000000000000014,125.0,90.795408089066,39.39089794137585,60.0,0.0
long_end_exploration,126.0,127.03652152619448,52.96347847380552,55.072795564542865,124.92720443545713,0.0,0.0,-30.11619839034053,39.91258691833506,30.00000000000001,126.0,90.11619839034053,39.91258691833505,60.0,0.0
long_end_exploration,127.0,126.04145950460354,53.95854049539643,55.5358327845898,124.46416721541017,0.0,0.0,-29.418525349413397,40.429572917184295,30.00000000000003,127.0,89.41852534941341,40.42957291718427,60.0,0.0
long_end_exploration,128.0,125.03166435325141,54.96833564674855,56.00908422897964,123.99091577102035,0.0,0.0,-28.70145254186391,40.94174668949939,30.00000000000004,128.0,88.70145254186394,40.94174668949936,60.0,0.0
long_end_exploration,129.0,124.00594136182362,55.99405863817635,56.493089541143526,123.50691045885648,0.0,0.0,-27.9639434307199,41.448979092415506,30.000000000000018,129.0,87.96394343071992,41.44897909241549,60.0,0.0
long_end_exploration,130.0,122.96297238480786,57.0370276151921,56.98845185767601,123.01154814232399,0.0,0.0,-27.204846363964332,41.95111839168411,30.000000000000032,130.0,87.20484636396436,41.95111839168409,60.0,0.0
long_end_exploration,131.0,121.9012954388719,58.09870456112807,57.495847717248374,122.5041522827516,0.0,0.0,-26.42287647800036,42.447986979694754,30.00000000000003,131.0,86.42287647800039,42.44798697969473,60.0,0.0
long_end_exploration,132.0,120.81927989458987,59.18072010541012,58.0160391235582,121.9839608764418,0.0,0.0,-25.616593692691954,42.93937735439971,30.000000000000014,132.0,85.61659369269196,42.9393773543997,60.0,0.0
long_end_exploration,133.0,119.71509603264474,60.284903967355234,58.54988835903374,121.45011164096626,0.0,0.0,-24.784375716612047,43.425047154123064,30.00000000000003,133.00000000000003,84.78437571661208,43.42504715412304,60.0,0.0
long_end_exploration,134.0,118.58667730825981,61.41332269174019,59.09837635239023,120.90162364760975,0.0,0.0,-23.924384607704184,43.904712971874076,30.000000000000018,133.99999999999997,83.92438460770418,43.90471297187407,60.0,0.0
long_end_exploration,135.0,117.43167306102207,62.568326938977904,59.6626256965242,120.33737430347577,0.0,0.0,-23.034524903855655,44.378042571227205,30.00000000000003,135.0,83.03452490385568,44.37804257122719,60.0,0.0
