mass_kg,l0_m,axial_force_per_leg_n,joint_torque_required_nm,stall_continuous_margin
2.0,0.1061,9.80665,0.3297330591773627,3.336031888171433
2.0,0.10619999999999999,9.80665,0.32965404134981,3.33683153252395
2.0,0.1063,9.80665,0.3295735834529657,3.33764614407266
2.0,0.1064,9.80665,0.32949168537160783,3.3384757456304137
2.0,0.1065,9.80665,0.3294083469760254,3.3393203605737987
2.0,0.1066,9.80665,0.32932356812195873,3.3401800128457126
2.0,0.10669999999999999,9.80665,0.3292373486505366,3.341054726958017
2.0,0.1068,9.80665,0.32914968838821623,3.3419445279942144
2.0,0.1069,9.80665,0.3290605871467197,3.3428494416122163
2.0,0.107,9.80665,0.3289700447229706,3.3437694940471636
2.0,0.1071,9.80665,0.3288780608990306,3.344704712114296
2.0,0.10719999999999999,9.80665,0.32878463544203335,3.3456551232119134
2.0,0.1073,9.80665,0.3286897681041197,3.3466207553243668
2.0,0.1074,9.80665,0.3285934586223708,3.3476016370251367
2.0,0.1075,9.80665,0.3284957067187407,3.3485977974799668
2.0,0.1076,9.80665,0.3283965120999881,3.349609266450062
2.0,0.10769999999999999,9.80665,0.3282958744576077,3.350636074295357
2.0,0.1078,9.80665,0.32819379346775995,3.3516782519778467
2.0,0.1079,9.80665,0.3280902687912003,3.3527358310649875
2.0,0.108,9.80665,0.32798530007320803,3.3538088437331623
2.0,0.1081,9.80665,0.3278788869435131,3.3548973227712215
2.0,0.10819999999999999,9.80665,0.3277710290162241,3.356001301584076
2.0,0.10830000000000001,9.80665,0.32766172588975206,3.357120814196394
2.0,0.1084,9.80665,0.3275509771467375,3.3582558952563226
2.0,0.1085,9.80665,0.32743878235397206,3.359406580039331
2.0,0.1086,9.80665,0.3273251410623238,3.3605729044520793
2.0,0.10869999999999999,9.80665,0.3272100528066576,3.361754905036398
2.0,0.10880000000000001,9.80665,0.32709351710575735,3.362952618973317
2.0,0.1089,9.80665,0.32697553346224484,3.3641660840871896
2.0,0.109,9.80665,0.32685610136250065,3.3653953388498694
2.0,0.1091,9.80665,0.3267352202765812,3.3666404223849837
2.0,0.10919999999999999,9.80665,0.3266128896581357,3.3679013744722854
2.0,0.10930000000000001,9.80665,0.3264891089443237,3.3691782355520576
2.0,0.1094,9.80665,0.32636387755572904,3.3704710467296337
2.0,0.1095,9.80665,0.32623719489627434,3.3717798497799745
2.0,0.1096,9.80665,0.32610906035313453,3.37310468715233
2.0,0.10969999999999999,9.80665,0.32597947329664806,3.374445601974997
2.0,0.1098,9.80665,0.3258484330802291,3.375802638060139
2.0,0.1099,9.80665,0.3257159390402759,3.3771758399087166
2.0,0.11,9.80665,0.325581990496081,3.3785652527154775
2.0,0.1101,9.80665,0.3254465867497377,3.379970922374059
2.0,0.11019999999999999,9.80665,0.3253097270860479,3.381392895482152
2.0,0.1103,9.80665,0.3251714107724261,3.3828312193467838
2.0,0.1104,9.80665,0.3250316370588048,3.384285941989665
2.0,0.1105,9.80665,0.32489040517753703,3.3857571121526435
2.0,0.1106,9.80665,0.3247477143432985,3.3872447793032467
2.0,0.11069999999999999,9.80665,0.3246035637529879,3.388748993640323
2.0,0.1108,9.80665,0.32445795258562676,3.3902698060997665
2.0,0.1109,9.80665,0.3243108800022575,3.3918072683603557
2.0,0.11099999999999999,9.80665,0.324162345145841,3.393361432849669
2.0,0.1111,9.80665,0.32401234714115146,3.3949323527501267
2.0,0.1112,9.80665,0.32386088509467115,3.3965200820051105
2.0,0.1113,9.80665,0.32370795809448405,3.398124675325194
2.0,0.1114,9.80665,0.3235535652101676,3.399746188194476
2.0,0.11149999999999999,9.80665,0.3233977054926826,3.401384676877027
2.0,0.1116,9.80665,0.32324037797426275,3.4030401984234313
2.0,0.1117,9.80665,0.3230815816683032,3.404712810677436
2.0,0.1118,9.80665,0.3229213155692456,3.406402572282726
2.0,0.1119,9.80665,0.32275957865246413,3.408109542689794
2.0,0.11199999999999999,9.80665,0.3225963698741491,3.4098337821629263
2.0,0.1121,9.80665,0.3224316881711885,3.4115753517873144
2.0,0.1122,9.80665,0.32226553246104983,3.4133343134762635
2.0,0.1123,9.80665,0.3220979016416576,3.415110729978549
2.0,0.1124,9.80665,0.32192879459127294,3.416904664885853
2.0,0.11249999999999999,9.80665,0.3217582101683688,3.4187161826403587
2.0,0.1126,9.80665,0.32158614721150486,3.420545348542449
2.0,0.1127,9.80665,0.3214126045392008,3.422392228758532
2.0,0.1128,9.80665,0.3212375809498077,3.4242568903290036
2.0,0.1129,9.80665,0.32106107522137817,3.4261394011763264
2.0,0.11299999999999999,9.80665,0.32088308611153427,3.4280398301132524
2.0,0.1131,9.80665,0.3207036123573347,3.4299582468511676
2.0,0.1132,9.80665,0.3205226526751401,3.4318947220085727
2.0,0.1133,9.80665,0.32034020576047556,3.4338493271197152
2.0,0.1134,9.80665,0.32015627028789256,3.4358221346433493
2.0,0.11349999999999999,9.80665,0.3199708449108293,3.4378132179716325
2.0,0.1136,9.80665,0.31978392826146845,3.439822651439177
2.0,0.1137,9.80665,0.3195955189505934,3.44185051033225
2.0,0.1138,9.80665,0.31940561556744307,3.4438968708981044
2.0,0.1139,9.80665,0.31921421667956473,3.44596181035448
2.0,0.11399999999999999,9.80665,0.3190213208326642,3.4480454068992508
2.0,0.11410000000000001,9.80665,0.3188269265504555,3.4501477397202245
2.0,0.1142,9.80665,0.31863103233450807,3.4522688890050994
2.0,0.1143,9.80665,0.31843363666409075,3.4544089359515997
2.0,0.1144,9.80665,0.31823473799601576,3.456567962777753
2.0,0.11449999999999999,9.80665,0.3180343347644801,3.4587460527323364
2.0,0.1146,9.80665,0.3178324253809043,3.4609432901055075
2.0,0.1147,9.80665,0.3176290082337689,3.463159760239597
2.0,0.1148,9.80665,0.3174240816884507,3.465395549540068
2.0,0.1149,9.80665,0.3172176440870542,3.4676507454866745
2.0,0.11499999999999999,9.80665,0.3170096937482438,3.4699254366447714
2.0,0.1151,9.80665,0.31680022896707094,3.4722197126768397
2.0,0.1152,9.80665,0.3165892480148016,3.4745336643541713
2.0,0.1153,9.80665,0.31637674913873987,3.476867383568759
2.0,0.1154,9.80665,0.3161627305620496,3.4792209633453806
2.0,0.11549999999999999,9.80665,0.31594719048357434,3.4815944978538673
2.0,0.1156,9.80665,0.31573012707765424,3.483988082421585
2.0,0.1157,9.80665,0.31551153849394137,3.4864018135461086
2.0,0.11579999999999999,9.80665,0.3152914228572111,3.4888357889081143
2.0,0.1159,9.80665,0.31506977826717314,3.49129010738447
2.0,0.11599999999999999,9.80665,0.31484660279827875,3.4937648690615433
2.0,0.1161,9.80665,0.31462189449952516,3.496260175248739
2.0,0.1162,9.80665,0.31439565139425873,3.4987761284922385
2.0,0.11629999999999999,9.80665,0.3141678714799743,3.5013128325889817
2.0,0.1164,9.80665,0.31393855272811233,3.5038703926008705
2.0,0.11649999999999999,9.80665,0.31370769308385416,3.506448914869199
2.0,0.1166,9.80665,0.3134752904659125,3.509048507029344
2.0,0.1167,9.80665,0.3132413427663219,3.5116692780256673
2.0,0.11679999999999999,9.80665,0.31300584785022384,3.5143113381266926
2.0,0.1169,9.80665,0.3127688035556507,3.5169747989405153
2.0,0.11699999999999999,9.80665,0.3125302076933071,3.519659773430461
2.0,0.1171,9.80665,0.3122900580463454,3.522366375931041
