l0_m,extension_speed_m_per_s,joint_speed_rad_per_s,joint_speed_rpm,available_joint_torque_nm,axial_force_per_leg_n,total_axial_force_n,total_mechanical_power_w
0.12,0.16,2.5752857994803344,24.59216789169953,6.0,193.14643496102508,386.29286992205016,61.806859187528026
0.12,0.17,2.7362411619478553,26.12917838493075,6.0,193.14643496102508,386.29286992205016,65.66978788674854
0.12,0.18,2.897196524415376,27.666188878161968,6.0,193.14643496102508,386.29286992205016,69.53271658596903
0.12,0.19,3.058151886882897,29.20319937139319,6.0,193.14643496102508,386.29286992205016,73.39564528518953
0.12,0.2,3.2191072493504183,30.740209864624415,5.9952415080131285,192.99325400051595,385.9865080010319,77.19730160020639
0.12,0.21,3.3800626118179387,32.277220357855626,5.985360726270928,192.67518103916026,385.35036207832053,80.92357603644732
0.12,0.22,3.54101797428546,33.814230851086855,5.975479944528727,192.35710807780458,384.71421615560917,84.63712755423401
0.12,0.23,3.701973336752981,35.351241344318076,5.965599162786527,192.03903511644893,384.07807023289786,88.33795615356651
0.12,0.24,3.8629286992205016,36.88825183754929,5.955718381044326,191.72096215509325,383.4419243101865,92.02606183444476
0.12,0.25,4.0238840616880225,38.42526233078051,5.945837599302125,191.40288919373756,382.80577838747513,95.70144459686878
0.12,0.26,4.184839424155544,39.96227282401174,5.935956817559925,191.0848162323819,382.1696324647638,99.3641044408386
0.12,0.27,4.345794786623064,41.499283317242956,5.926076035817724,190.76674327102623,381.53348654205246,103.01404136635416
0.12,0.28,4.5067501490905855,43.036293810474184,5.916195254075523,190.44867030967055,380.8973406193411,106.65125537341552
0.12,0.29,4.667705511558106,44.57330430370539,5.906314472333323,190.1305973483149,380.2611946966298,110.27574646202262
0.12,0.3,4.828660874025627,46.11031479693662,5.896433690591122,189.8125243869592,379.6250487739184,113.88751463217552
0.12,0.31,4.989616236493148,47.647325290167835,5.8865529088489215,189.49445142560353,378.98890285120706,117.4865598838742
0.12,0.32,5.150571598960669,49.18433578339906,5.87667212710672,189.17637846424782,378.35275692849564,121.0728822171186
0.12,0.33,5.31152696142819,50.721346276630285,5.866791345364519,188.85830550289216,377.71661100578433,124.64648163190884
0.12,0.34,5.4724823238957105,52.2583567698615,5.856910563622319,188.54023254153648,377.08046508307297,128.2073581282448
0.12,0.35000000000000003,5.633437686363232,53.79536726309272,5.847029781880118,188.2221595801808,376.4443191603616,131.75551170612658
0.12,0.36,5.794393048830752,55.332377756323936,5.837149000137917,187.90408661882515,375.8081732376503,135.2909423655541
0.12,0.37,5.9553484112982735,56.869388249555165,5.827268218395717,187.58601365746946,375.17202731493893,138.8136501065274
0.12,0.38,6.116303773765794,58.40639874278638,5.817387436653516,187.26794069611378,374.53588139222757,142.32363492904648
0.12,0.39,6.277259136233315,59.94340923601761,5.8075066549113155,186.94986773475813,373.89973546951626,145.82089683311133
0.12,0.4,6.4382144987008365,61.48041972924883,5.797625873169115,186.63179477340245,373.2635895468049,149.30543581872197
